,second_name,team,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position,value
0,Leno,Arsenal,2.3,50,3131,0,26.2,131,Goalkeeper,26.2
1,Rúnarsson,Arsenal,1.1,40,15,0,0.2,1,Goalkeeper,0.2
2,Borges Da Silva,Arsenal,0.3,65,1398,0,12.0,78,Midfielder,12.0
3,Aubameyang,Arsenal,3.6,100,2330,0,13.1,131,Forward,13.1
4,Soares,Arsenal,0.3,45,744,0,6.2,28,Defender,6.2
5,Lacazette,Arsenal,4.9,85,1916,0,15.2,129,Forward,15.2
6,Xhaka,Arsenal,0.6,50,2519,0,14.0,70,Midfielder,14.0
7,Marí,Arsenal,0.2,45,900,0,7.6,34,Defender,7.6
8,Bellerín,Arsenal,0.8,50,2089,0,18.8,94,Defender,18.8
9,Chambers,Arsenal,0.4,45,751,0,8.0,36,Defender,8.0
11,El Sayed Elneny,Arsenal,0.6,45,1538,0,11.1,50,Midfielder,11.1
12,Maitland-Niles,Arsenal,0.1,55,1714,0,12.4,68,Midfielder,12.4
13,Holding,Arsenal,3.4,45,2557,0,23.3,105,Defender,23.3
14,Partey,Arsenal,0.4,50,1529,0,9.4,47,Midfielder,9.4
15,Tierney,Arsenal,8.5,50,2299,0,19.2,96,Defender,19.2
16,Pépé,Arsenal,3.6,75,1606,0,15.2,114,Midfielder,15.2
18,Willock,Arsenal,0.6,60,1210,0,13.2,79,Midfielder,13.2
19,Nketiah,Arsenal,0.5,55,411,0,6.5,36,Forward,6.5
20,Smith Rowe,Arsenal,8.1,55,1438,0,13.5,74,Midfielder,13.5
21,Saka,Arsenal,14.7,65,2554,0,17.5,114,Midfielder,17.5
22,Magalhães,Arsenal,0.6,50,1996,0,15.6,78,Defender,15.6
25,Martinelli Silva,Arsenal,0.3,55,582,0,6.5,36,Midfielder,6.5
27,White,Arsenal,19.1,45,3192,0,23.1,104,Defender,23.1
32,Martínez,Aston Villa,39.1,55,3420,0,33.8,186,Goalkeeper,33.8
34,Traoré,Aston Villa,1.9,60,2315,0,22.5,135,Midfielder,22.5
35,Grealish,Aston Villa,32.7,80,2183,0,16.9,135,Midfielder,16.9
36,Sanson,Aston Villa,0.1,50,288,0,2.0,10,Midfielder,2.0
37,McGinn,Aston Villa,0.8,60,3330,0,19.0,114,Midfielder,19.0
38,Hause,Aston Villa,0.2,45,630,0,7.1,32,Defender,7.1
39,Ibrahim Hassan,Aston Villa,0.0,55,1157,0,10.2,56,Midfielder,10.2
40,Mings,Aston Villa,7.5,50,3194,0,25.6,128,Defender,25.6
41,Targett,Aston Villa,9.4,50,3404,0,27.6,138,Defender,27.6
42,Watkins,Aston Villa,36.4,75,3328,0,22.4,168,Forward,22.4
43,Nakamba,Aston Villa,0.1,45,747,0,6.0,27,Midfielder,6.0
44,El Ghazi,Aston Villa,0.8,60,1604,0,18.5,111,Midfielder,18.5
46,Cash,Aston Villa,1.9,50,2373,0,17.8,89,Defender,17.8
47,Konsa Ngoyo,Aston Villa,1.2,50,3195,0,23.8,119,Defender,23.8
49,Moraes,Aston Villa,0.2,55,15,0,0.5,3,Forward,0.5
51,Davis,Aston Villa,8.2,45,265,0,5.1,23,Forward,5.1
52,Soares de Paulo,Aston Villa,1.7,45,2781,0,16.0,72,Midfielder,16.0
53,Ramsey,Aston Villa,0.3,45,611,0,6.2,28,Midfielder,6.2
79,Lallana,Brighton,0.3,55,1584,0,10.5,58,Midfielder,10.5
81,Groß,Brighton,0.5,60,2479,0,19.3,116,Midfielder,19.3
83,Pröpper,Brighton,0.0,45,209,0,2.0,9,Midfielder,2.0
84,Burn,Brighton,0.4,45,2057,0,14.2,64,Defender,14.2
85,Dunk,Brighton,6.5,50,2932,0,26.0,130,Defender,26.0
86,March,Brighton,0.2,55,1670,0,12.5,69,Midfielder,12.5
87,Webster,Brighton,0.5,45,2594,0,18.9,85,Defender,18.9
88,Veltman,Brighton,2.9,45,2280,0,21.3,96,Defender,21.3
89,Maupay,Brighton,2.1,65,2508,0,16.2,105,Forward,16.2
90,Trossard,Brighton,1.5,65,2602,0,20.3,132,Midfielder,20.3
91,Ryan,Brighton,0.2,45,1260,0,8.2,37,Goalkeeper,8.2
92,Jahanbakhsh,Brighton,0.0,55,520,0,4.4,24,Midfielder,4.4
94,Sánchez,Brighton,23.9,45,2430,0,22.4,101,Goalkeeper,22.4
95,Bissouma,Brighton,14.5,45,3112,0,17.1,77,Midfielder,17.1
96,Lamptey,Brighton,6.6,45,887,0,7.8,35,Defender,7.8
97,Connolly,Brighton,0.2,55,783,0,6.9,38,Forward,6.9
98,Alzate,Brighton,0.1,50,892,0,7.0,35,Midfielder,7.0
99,Mac Allister,Brighton,0.1,55,1108,0,8.7,48,Midfielder,8.7
100,Moder,Brighton,0.3,45,643,0,4.7,21,Midfielder,4.7
101,Welbeck,Brighton,1.8,60,1541,0,14.8,89,Forward,14.8
104,Tarkowski,Burnley,1.4,50,3240,0,21.8,109,Defender,21.8
105,Bardsley,Burnley,1.0,40,273,0,0.5,2,Defender,0.5
106,Pieters,Burnley,0.3,45,1260,0,11.1,50,Defender,11.1
107,Cork,Burnley,0.1,45,1350,0,7.3,33,Midfielder,7.3
108,Stephens,Burnley,0.1,45,257,0,1.8,8,Midfielder,1.8
109,Long,Burnley,1.2,40,636,0,3.5,14,Defender,3.5
110,Rodriguez,Burnley,0.7,55,1248,0,9.8,54,Forward,9.8
111,Barnes,Burnley,1.8,55,1324,0,9.5,52,Forward,9.5
112,Mee,Burnley,0.9,50,2693,0,20.4,102,Defender,20.4
113,Westwood,Burnley,0.7,55,3410,0,20.4,112,Midfielder,20.4
114,Gudmundsson,Burnley,0.1,55,1358,0,9.1,50,Midfielder,9.1
115,Wood,Burnley,2.8,70,2741,0,19.7,138,Forward,19.7
116,Lowton,Burnley,3.0,45,3060,0,22.9,103,Defender,22.9
117,Vydra,Burnley,0.9,55,1359,0,11.3,62,Forward,11.3
118,Pope,Burnley,5.5,55,2880,0,26.2,144,Goalkeeper,26.2
119,Taylor,Burnley,1.0,45,2425,0,18.4,83,Defender,18.4
